titulo,predicao_zero_shot,confianca,rotulo_manual
Durigan: governo fez esforço para harmonizar necessidades do agro e contas públicas,neutro,0.449,positivo
Dona do Ozempic abre loja no Mercado Livre do México e afeta farmacêuticas da B3,negativo,0.506,negativo
"Na Cúpula do Mercosul, Lula diz que país vive melhor momento econômico",positivo,0.488,positivo
Lula: Pix pode servir de base para estrutura de pagamentos que beneficie o Mercosul,positivo,0.510,positivo
Amil será vendida? O que pode em meio a rumores sobre mudanças na companhia,neutro,0.640,negativo
Ibovespa Hoje Ao Vivo: Bolsa cai e tenta segurar os 172 mil pontos,positivo,0.563,negativo
Pré-venda da Bath&Body Works no Brasil está disponível; veja preços,neutro,0.879,neutro
EUA: Suprema Corte derruba limite de gastos de campanhas; vitória para republicanos,negativo,0.784,negativo
"Corretora comete gafe em e-mail, fica sem ações da SpaceX e pede desculpas",negativo,0.815,negativo
"Governo apresentará proposta de renegociação de dívidas rurais em breve, diz Durigan",neutro,0.766,positivo
CNPJ passará a ter letras a partir de  julho. Entenda o motivo,neutro,0.744,positivo
Omã leva adiante plano para cobrar pedágio por passagem no Estreito de Ormuz,neutro,0.588,neutro
Ex-presidentes e ex-diretores do BC divulgam carta em apoio à PEC da autonomia,positivo,0.570,positivo
"Alemanha volta à estaca zero, mais uma vez, após 3º fracasso consecutivo na Copa",negativo,0.926,neutro
Petrobras cria mecanismo e limita alta do gás a até 6% a partir de agosto,positivo,0.507,positivo
Tesouro Direto paga juros históricos: veja como aproveitar com guia gratuito,neutro,0.565,positivo
"Acho muito justas críticas de Erika Hilton ao PSOL pelo fundo eleitoral, diz Boulos",negativo,0.513,neutro
"Gramado, calor e acesso colocam estádio da final da Copa sob pressão",negativo,0.761,neutro
“Sal é o novo petróleo”: como as baterias de sódio podem redefinir futuro da energia,positivo,0.492,positivo
"Principal questão do mercado não é mais identificar se há bolha em IA, aponta XP",neutro,0.848,negativo
"A gente não vende ilusão mas tem oportunidade, diz trader sobre operação automatizada",neutro,0.654,negativo
JPMorgan aponta forte assimetria e divide estratégias de ações do agro sob o El Niño,neutro,0.490,negativo
Ouro fecha dia próximo à estabilidade e recua 12% no mês com Fed mais cauteloso,positivo,0.578,negativo
"Bolsas da Europa fecham na maioria em alta com tecnologia, IA e de olho em petróleo",positivo,0.482,positivo
FIIs têm pior 1º semestre desde 2022; veja maiores altas e baixas,neutro,0.490,negativo
Fundos Imobiliários,neutro,0.831,neutro
"‘Nem todo dividendo é igual’: o que FIIs, Fiagros e FI-Infra ensinam sobre risco",negativo,0.824,neutro
Criptos,neutro,0.732,neutro
"Comprar, esperar ou sair? O que especialistas dizem após o Bitcoin desabar 50%",neutro,0.702,negativo
"Renda Fixa Hoje: conheça as taxas de CDBs, LCIs e LCAs na XP com dólar em alta",neutro,0.814,negativo
XP International disponibiliza Predictions Market para plataformas XP e Rico,positivo,0.700,neutro
"""IPCA+8% não é de graça"": Por que aposta em dólar pode ser chave no 2º semestre",positivo,0.525,negativo
"Riqueza no topo cresce, e Brasil soma 9,2 mil novos milionários em um ano",positivo,0.490,neutro
Mais um título Tesouro IPCA+ se aproxima dos 8% após resultado fiscal ruim,negativo,0.752,negativo
O S&P 500 é imbatível?,positivo,0.752,positivo
"Celesc, Tim e Cemig lideram dia mais movimentado em dividendos de junho",positivo,0.570,positivo
Bitcoin é o pior investimento do semestre: 3 razões e o que esperar agora,negativo,0.834,negativo
"Governo anuncia fim do subsídio de R$0,35 por litro de diesel e avalia mais reversões",neutro,0.764,positivo
"Brasil abre 72.960 vagas formais de trabalho em maio, menor saldo para mês desde 2020",neutro,0.671,negativo
"PMI dos Estados Unidos medido pelo ISM cai a 56,7 em junho",neutro,0.582,neutro
"Índice de confiança do consumidor nos EUA sobe a 91,2 em junho",neutro,0.703,negativo
"Abertura de postos de trabalho nos EUA sobe a 7,594 mi em maio, acima do esperado",neutro,0.721,positivo
"Setor público tem déficit de R$ 56,1 bi e dívida pública sobe mais que o esperado",neutro,0.643,negativo
"Dívida pública bruta do Brasil sobe mais que o esperado em maio, a 81,1% do PIB",neutro,0.746,negativo
ONS: Consumo de energia cai até 21% na partida do Brasil na Copa,neutro,0.641,neutro
Bradesco eleva PIB de 2026 e vê inflação e Selic maiores neste ano e em 2027,neutro,0.658,negativo
Senado adia votação de pauta-bomba da saúde com impacto de R$ 28 bilhões,neutro,0.494,positivo
Raphinha treina pela 1ª vez desde a lesão e aumenta otimismo para voltar na Copa,neutro,0.614,neutro
ASSISTA AOS GOLS: Haaland marca e classifica Noruega para enfrentar o Brasil na Copa,positivo,0.640,neutro
Os bairros com maior índice de roubos e furtos de carros de São Paulo; veja lista,neutro,0.488,neutro
Canetas emagrecedoras com preços reduzidos da Eurofarma chegam às farmácias,neutro,0.813,neutro
1ª Turma do STF mantém decisão que proíbe aposentadoria compulsória como punição,negativo,0.550,neutro
Governo estuda recorrer ao STF se pauta-bomba avançar no Senado,neutro,0.692,negativo
Mundo ganhou quase 1 milhão de novos milionários em 2025: o que explica?,positivo,0.640,positivo
